"","year","effort","homework","grades"
"983","Ninth grade","Could try a little harder","About the right amount","C"
"984","Eleventh grade","Trying best to do well in school","About the right amount","B"
"985","Eighth grade","Trying best to do well in school","About the right amount","B"
"986","Seventh grade","Trying best to do well in school","About the right amount","A"
"987","Eighth grade","Could try a little harder","About the right amount","A"
"988","Ninth grade","Trying best to do well in school","About the right amount","C"
"989","Seventh grade","Trying best to do well in school","About the right amount","A"
"990","Twelfth grade","Trying best to do well in school","About the right amount","A"
"991","Seventh grade","Could try a little harder","About the right amount","A"
"992","Twelfth grade","Trying best to do well in school","About the right amount","B"
"993","Eighth grade","Trying best to do well in school","Too much homework","A"
"994","Twelfth grade","Trying best to do well in school","Too much homework","C"
"995","Eleventh grade","Trying best to do well in school","About the right amount","C"
"996","Ninth grade","Could try a little harder","About the right amount","B"
"997","Ninth grade","Could try a little harder","About the right amount","A"
"998","Eleventh grade","Could try a little harder","Too much homework","Less than a C"
"999","Ninth grade","Could try a little harder","About the right amount","A"
"1000","Seventh grade","Could try a little harder","About the right amount","Less than a C"
"1001","Eleventh grade","Could try a little harder","About the right amount","B"
"1002","Eighth grade","Could try a little harder","About the right amount","C"
"1003","Eleventh grade","Trying best to do well in school","About the right amount","A"
"1004","Seventh grade","Trying best to do well in school","Too much homework","A"
"1005","Tenth grade","Could try a little harder","About the right amount","B"
"1006","Sixth grade","Could try a little harder","Too little homework","A"
"1007","Ninth grade","Could try a little harder","Too little homework","A"
"1008","Twelfth grade","Could try a little harder","About the right amount","C"
"1009","Eighth grade","Trying best to do well in school","About the right amount","B"
"1010","Eleventh grade","Could try a little harder","Too much homework","Less than a C"
"1011","Tenth grade","Could try a little harder","About the right amount","B"
"1012","Tenth grade","Trying best to do well in school","Too much homework","B"
"1013","Eighth grade","Trying best to do well in school","Too much homework","A"
"1014","Seventh grade","Trying best to do well in school","About the right amount","A"
"1015","Sixth grade","Trying best to do well in school","Too much homework","Less than a C"
"1016","Eleventh grade","Trying best to do well in school","About the right amount","A"
"1017","Sixth grade","Trying best to do well in school","About the right amount","A"
"1018","Twelfth grade","Trying best to do well in school","About the right amount","A"
"1019","Tenth grade","Trying best to do well in school","About the right amount","B"
"1020","Eleventh grade","Trying best to do well in school","About the right amount","B"
"1021","Twelfth grade","Trying best to do well in school","About the right amount","A"
"1022","Eighth grade","Trying best to do well in school","Too little homework","B"
"1023","Twelfth grade","Could try a little harder","About the right amount","B"
"1024","Ninth grade","Trying best to do well in school","About the right amount","B"
"1025","Tenth grade","Could try a little harder","Too much homework","C"
"1026","Twelfth grade","Could try a little harder","Too much homework","A"
"1027","Seventh grade","Trying best to do well in school","About the right amount","C"
"1028","Ninth grade","Could try a little harder","About the right amount","B"
"1029","Tenth grade","Trying best to do well in school","About the right amount","B"
"1030","Ninth grade","Could try a little harder","Too much homework","C"
"1031","Twelfth grade","Could try a little harder","About the right amount","B"
"1032","Tenth grade","Could try a little harder","Too much homework","A"
"1033","Seventh grade","Trying best to do well in school","About the right amount","B"
"1034","Eighth grade","Trying best to do well in school","About the right amount","B"
"1035","Sixth grade","Could try a little harder","About the right amount","A"
"1036","Sixth grade","Could try a little harder","About the right amount","A"
"1037","Eighth grade","Trying best to do well in school","Too much homework","B"
"1038","Tenth grade","Could try a little harder","About the right amount","B"
"1039","Seventh grade","Trying best to do well in school","Too much homework","B"
"1040","Seventh grade","Trying best to do well in school","About the right amount","B"
"1041","Twelfth grade","Could try a little harder","About the right amount","B"
"1042","Twelfth grade","Could try a little harder","Too much homework","A"
"1043","Ninth grade","Could try a little harder","Too much homework","C"
"1044","Seventh grade","Trying best to do well in school","About the right amount","A"
"1045","Sixth grade","Trying best to do well in school","About the right amount","B"
"1046","Eleventh grade","Could try a little harder","Too little homework","Less than a C"
"1047","Twelfth grade","Trying best to do well in school","Too much homework","B"
"1048","Eighth grade","Trying best to do well in school","Too much homework","B"
"1049","Eighth grade","Trying best to do well in school","About the right amount","A"
"1050","Seventh grade","Could try a little harder","Too much homework","A"
"1051","Tenth grade","Could try a little harder","Too much homework","B"
"1052","Twelfth grade","Could try a little harder","About the right amount","B"
"1053","Ninth grade","Could try a little harder","About the right amount","B"
"1054","Eighth grade","Could try a little harder","About the right amount","B"
"1055","Sixth grade","Trying best to do well in school","Too much homework","B"
"1056","Twelfth grade","Could try a little harder","About the right amount","A"
"1057","Sixth grade","Could try a little harder","Too much homework","B"
"1058","Twelfth grade","Could try a little harder","Too much homework","B"
"1059","Twelfth grade","Trying best to do well in school","About the right amount","A"
"1060","Ninth grade","Trying best to do well in school","About the right amount","B"
"1061","Seventh grade","Could try a little harder","About the right amount","B"
"1062","Eleventh grade","Could try a little harder","Too little homework","C"
"1063","Ninth grade","Could try a little harder","Too much homework","B"
"1064","Sixth grade","Could try a little harder","About the right amount","A"
"1065","Seventh grade","Could try a little harder","About the right amount","A"
"1066","Eighth grade","Trying best to do well in school","About the right amount","B"
"1067","Sixth grade","Trying best to do well in school","About the right amount","B"
"1068","Seventh grade","Trying best to do well in school","Too much homework","B"
"1069","Ninth grade","Trying best to do well in school","About the right amount","B"
"1070","Eleventh grade","Trying best to do well in school","Too much homework","B"
"1071","Ninth grade","Could try a little harder","About the right amount","B"
"1072","Twelfth grade","Could try a little harder","Too much homework","A"
"1073","Seventh grade","Could try a little harder","Too much homework","A"
"1074","Seventh grade","Could try a little harder","About the right amount","B"
"1075","Eighth grade","Trying best to do well in school","Too much homework","A"
"1076","Ninth grade","Trying best to do well in school","Too little homework","B"
"1077","Sixth grade","Could try a little harder","About the right amount","A"
"1078","Tenth grade","Could try a little harder","About the right amount","B"
"1079","Ninth grade","Could try a little harder","About the right amount","C"
"1080","Twelfth grade","Trying best to do well in school","Too much homework","C"
"1081","Twelfth grade","Trying best to do well in school","About the right amount","B"
"1082","Tenth grade","Trying best to do well in school","About the right amount","A"
"1083","Seventh grade","Could try a little harder","About the right amount","B"
"1084","Sixth grade","Could try a little harder","About the right amount","B"
"1085","Twelfth grade","Could try a little harder","About the right amount","B"
"1086","Tenth grade","Trying best to do well in school","Too little homework","A"
"1087","Tenth grade","Could try a little harder","About the right amount","B"
"1088","Tenth grade","Trying best to do well in school","About the right amount","B"
"1089","Ninth grade","Trying best to do well in school","About the right amount","A"
"1090","Ninth grade","Could try a little harder","About the right amount","B"
"1091","Eleventh grade","Could try a little harder","Too much homework","B"
"1092","Ninth grade","Trying best to do well in school","About the right amount","A"
"1093","Tenth grade","Trying best to do well in school","About the right amount","B"
"1094","Tenth grade","Could try a little harder","About the right amount","B"
"1095","Sixth grade","Trying best to do well in school","About the right amount","C"
"1096","Ninth grade","Trying best to do well in school","About the right amount","A"
"1097","Tenth grade","Could try a little harder","About the right amount","B"
"1098","Tenth grade","Could try a little harder","About the right amount","B"
"1099","Sixth grade","Trying best to do well in school","Too much homework","A"
"1100","Twelfth grade","Trying best to do well in school","Too much homework","C"
"1101","Eleventh grade","Trying best to do well in school","Too little homework","B"
"1102","Seventh grade","Trying best to do well in school","Too much homework","C"
"1103","Eighth grade","Trying best to do well in school","About the right amount","A"
"1104","Seventh grade","Could try a little harder","Too much homework","B"
"1105","Eighth grade","Could try a little harder","About the right amount","B"
"1106","Tenth grade","Could try a little harder","About the right amount","C"
"1107","Seventh grade","Could try a little harder","About the right amount","A"
"1108","Tenth grade","Could try a little harder","About the right amount","B"
"1109","Tenth grade","Trying best to do well in school","About the right amount","B"
"1110","Eighth grade","Could try a little harder","About the right amount","B"
"1111","Twelfth grade","Trying best to do well in school","About the right amount","A"
"1112","Eleventh grade","Could try a little harder","Too much homework","A"
"1113","Twelfth grade","Trying best to do well in school","About the right amount","B"
"1114","Sixth grade","Could try a little harder","About the right amount","B"
"1115","Eleventh grade","Could try a little harder","Too much homework","B"
"1116","Eighth grade","Trying best to do well in school","Too much homework","A"
"1117","Sixth grade","Trying best to do well in school","About the right amount","B"
"1118","Seventh grade","Could try a little harder","Too much homework","B"
"1119","Tenth grade","Trying best to do well in school","About the right amount","B"
"1120","Seventh grade","Trying best to do well in school","About the right amount","B"
"1121","Tenth grade","Could try a little harder","About the right amount","A"
"1122","Eighth grade","Could try a little harder","Too much homework","B"
"1123","Ninth grade","Trying best to do well in school","About the right amount","A"
"1124","Sixth grade","Trying best to do well in school","Too little homework","C"
"1125","Eleventh grade","Trying best to do well in school","About the right amount","C"
"1126","Tenth grade","Could try a little harder","About the right amount","C"
"1127","Sixth grade","Could try a little harder","About the right amount","B"
"1128","Sixth grade","Trying best to do well in school","Too little homework","A"
"1129","Ninth grade","Trying best to do well in school","Too little homework","A"
"1130","Seventh grade","Trying best to do well in school","About the right amount","B"
"1131","Eleventh grade","Trying best to do well in school","Too much homework","A"
"1132","Eighth grade","Could try a little harder","About the right amount","B"
"1133","Eleventh grade","Trying best to do well in school","About the right amount","B"
"1134","Eighth grade","Could try a little harder","About the right amount","B"
"1135","Twelfth grade","Could try a little harder","Too much homework","B"
"1136","Tenth grade","Could try a little harder","About the right amount","C"
"1137","Sixth grade","Could try a little harder","About the right amount","A"
"1138","Tenth grade","Could try a little harder","About the right amount","C"
"1139","Eighth grade","Trying best to do well in school","About the right amount","A"
"1140","Seventh grade","Could try a little harder","About the right amount","A"
"1141","Eighth grade","Trying best to do well in school","Too little homework","C"
"1142","Eleventh grade","Could try a little harder","About the right amount","B"
"1143","Ninth grade","Trying best to do well in school","Too much homework","B"
"1144","Seventh grade","Could try a little harder","About the right amount","C"
"1145","Eleventh grade","Could try a little harder","Too much homework","B"
"1146","Sixth grade","Could try a little harder","About the right amount","B"
"1147","Eighth grade","Could try a little harder","About the right amount","C"
"1148","Eighth grade","Trying best to do well in school","Too much homework","A"
"1149","Ninth grade","Could try a little harder","Too little homework","B"
"1150","Ninth grade","Could try a little harder","About the right amount","B"
"1151","Eleventh grade","Could try a little harder","About the right amount","B"
"1152","Ninth grade","Could try a little harder","About the right amount","Less than a C"
"1153","Tenth grade","Could try a little harder","About the right amount","C"
"1154","Ninth grade","Could try a little harder","About the right amount","A"
"1155","Ninth grade","Trying best to do well in school","About the right amount","C"
"1156","Ninth grade","Trying best to do well in school","About the right amount","C"
"1157","Sixth grade","Could try a little harder","About the right amount","B"
"1158","Twelfth grade","Trying best to do well in school","About the right amount","B"
"1159","Seventh grade","Trying best to do well in school","About the right amount","B"
"1160","Twelfth grade","Could try a little harder","About the right amount","A"
"1161","Sixth grade","Trying best to do well in school","About the right amount","B"
"1162","Seventh grade","Trying best to do well in school","About the right amount","Less than a C"
"1163","Seventh grade","Could try a little harder","Too much homework","B"
"1164","Tenth grade","Trying best to do well in school","About the right amount","B"
"1165","Sixth grade","Trying best to do well in school","About the right amount","B"
"1166","Tenth grade","Trying best to do well in school","Too much homework","A"
"1167","Eleventh grade","Could try a little harder","About the right amount","A"
"1168","Tenth grade","Trying best to do well in school","About the right amount","B"
"1169","Seventh grade","Trying best to do well in school","About the right amount","B"
"1170","Ninth grade","Could try a little harder","About the right amount","A"
"1171","Seventh grade","Trying best to do well in school","Too much homework","A"
"1172","Seventh grade","Trying best to do well in school","Too little homework","A"
"1173","Eighth grade","Trying best to do well in school","Too much homework","C"
"1174","Eleventh grade","Trying best to do well in school","Too much homework","B"
"1175","Twelfth grade","Could try a little harder","About the right amount","B"
"1176","Sixth grade","Trying best to do well in school","Too little homework","B"
"1177","Eighth grade","Could try a little harder","Too much homework","A"
"1178","Seventh grade","Trying best to do well in school","Too much homework","A"
"1179","Ninth grade","Could try a little harder","About the right amount","A"
"1180","Eighth grade","Trying best to do well in school","About the right amount","B"
"1181","Ninth grade","Trying best to do well in school","Too much homework","C"
"1182","Eleventh grade","Trying best to do well in school","About the right amount","B"
"1183","Ninth grade","Could try a little harder","About the right amount","C"
"1184","Sixth grade","Could try a little harder","Too much homework","A"
"1185","Ninth grade","Could try a little harder","Too much homework","B"
"1186","Seventh grade","Could try a little harder","About the right amount","B"
"1187","Seventh grade","Trying best to do well in school","About the right amount","B"
"1188","Twelfth grade","Trying best to do well in school","About the right amount","A"
"1189","Eleventh grade","Could try a little harder","About the right amount","A"
"1190","Tenth grade","Could try a little harder","Too much homework","C"
"1191","Seventh grade","Trying best to do well in school","Too much homework","B"
"1192","Seventh grade","Trying best to do well in school","Too much homework","A"
"1193","Ninth grade","Could try a little harder","About the right amount","B"
"1194","Eleventh grade","Could try a little harder","Too much homework","A"
"1195","Eighth grade","Could try a little harder","Too much homework","Less than a C"
"1196","Eleventh grade","Trying best to do well in school","About the right amount","A"
"1197","Eleventh grade","Trying best to do well in school","About the right amount","A"
"1198","Twelfth grade","Trying best to do well in school","About the right amount","B"
"1199","Twelfth grade","Trying best to do well in school","Too much homework","Less than a C"
"1200","Ninth grade","Trying best to do well in school","About the right amount","B"
"1201","Twelfth grade","Could try a little harder","About the right amount","B"
"1202","Seventh grade","Trying best to do well in school","About the right amount","C"
"1203","Ninth grade","Trying best to do well in school","Too much homework","B"
"1204","Sixth grade","Trying best to do well in school","About the right amount","A"
"1205","Tenth grade","Could try a little harder","About the right amount","B"
"1206","Twelfth grade","Could try a little harder","About the right amount","A"
"1207","Twelfth grade","Could try a little harder","About the right amount","B"
"1208","Eighth grade","Could try a little harder","Too much homework","B"
"1209","Eleventh grade","Could try a little harder","About the right amount","C"
"1210","Eighth grade","Trying best to do well in school","About the right amount","B"
"1211","Seventh grade","Could try a little harder","About the right amount","C"
"1212","Eleventh grade","Trying best to do well in school","About the right amount","A"
"1213","Eighth grade","Could try a little harder","About the right amount","C"
"1214","Tenth grade","Could try a little harder","About the right amount","A"
"1215","Seventh grade","Could try a little harder","About the right amount","A"
"1216","Ninth grade","Trying best to do well in school","About the right amount","B"
"1217","Eighth grade","Trying best to do well in school","About the right amount","B"
"1218","Seventh grade","Could try a little harder","About the right amount","C"
"1219","Tenth grade","Could try a little harder","About the right amount","C"
"1220","Sixth grade","Trying best to do well in school","About the right amount","Less than a C"
"1221","Eighth grade","Trying best to do well in school","About the right amount","A"
"1222","Eighth grade","Trying best to do well in school","About the right amount","A"
"1223","Seventh grade","Trying best to do well in school","About the right amount","B"
"1224","Tenth grade","Could try a little harder","About the right amount","B"
"1225","Sixth grade","Trying best to do well in school","About the right amount","A"
"1226","Eleventh grade","Could try a little harder","About the right amount","B"
"1227","Seventh grade","Trying best to do well in school","About the right amount","C"
"1228","Seventh grade","Could try a little harder","About the right amount","B"
"1229","Ninth grade","Could try a little harder","About the right amount","B"
"1230","Seventh grade","Trying best to do well in school","About the right amount","A"
"1231","Tenth grade","Trying best to do well in school","About the right amount","B"
"1232","Eleventh grade","Could try a little harder","Too little homework","B"
"1233","Seventh grade","Trying best to do well in school","About the right amount","A"
"1234","Twelfth grade","Could try a little harder","Too much homework","B"
"1235","Tenth grade","Could try a little harder","About the right amount","B"
"1236","Eleventh grade","Could try a little harder","Too much homework","Less than a C"
"1237","Ninth grade","Trying best to do well in school","About the right amount","A"
"1238","Ninth grade","Trying best to do well in school","About the right amount","A"
"1239","Sixth grade","Could try a little harder","About the right amount","B"
"1240","Ninth grade","Trying best to do well in school","Too much homework","Less than a C"
"1241","Seventh grade","Could try a little harder","Too little homework","B"
"1242","Seventh grade","Could try a little harder","About the right amount","B"
"1243","Tenth grade","Trying best to do well in school","About the right amount","A"
"1244","Tenth grade","Could try a little harder","About the right amount","B"
"1245","Seventh grade","Could try a little harder","About the right amount","A"
"1246","Tenth grade","Could try a little harder","About the right amount","B"
"1247","Tenth grade","Trying best to do well in school","About the right amount","A"
"1248","Eleventh grade","Could try a little harder","About the right amount","C"
"1249","Sixth grade","Trying best to do well in school","About the right amount","A"
"1250","Eleventh grade","Trying best to do well in school","About the right amount","A"
"1251","Tenth grade","Trying best to do well in school","Too much homework","A"
"1252","Eighth grade","Trying best to do well in school","About the right amount","C"
"1253","Seventh grade","Trying best to do well in school","About the right amount","C"
"1254","Ninth grade","Trying best to do well in school","About the right amount","B"
"1255","Sixth grade","Trying best to do well in school","About the right amount","A"
"1256","Eleventh grade","Trying best to do well in school","About the right amount","A"
"1257","Twelfth grade","Could try a little harder","About the right amount","A"
"1258","Eighth grade","Trying best to do well in school","About the right amount","A"
"1259","Seventh grade","Trying best to do well in school","About the right amount","A"
"1260","Seventh grade","Trying best to do well in school","Too much homework","B"
"1261","Seventh grade","Trying best to do well in school","Too much homework","A"
"1262","Ninth grade","Could try a little harder","About the right amount","B"
"1263","Seventh grade","Trying best to do well in school","About the right amount","B"
"1264","Tenth grade","Trying best to do well in school","About the right amount","B"
"1265","Seventh grade","Could try a little harder","Too much homework","A"
"1266","Eleventh grade","Could try a little harder","About the right amount","B"
"1267","Sixth grade","Trying best to do well in school","About the right amount","A"
"1268","Ninth grade","Could try a little harder","About the right amount","B"
"1269","Twelfth grade","Could try a little harder","About the right amount","C"
"1270","Seventh grade","Could try a little harder","Too much homework","A"
"1271","Eighth grade","Trying best to do well in school","About the right amount","B"
"1272","Eleventh grade","Could try a little harder","About the right amount","C"
"1273","Seventh grade","Trying best to do well in school","About the right amount","B"
"1274","Tenth grade","Could try a little harder","About the right amount","B"
"1275","Ninth grade","Trying best to do well in school","About the right amount","A"
"1276","Twelfth grade","Could try a little harder","About the right amount","A"
"1277","Eighth grade","Could try a little harder","About the right amount","A"
"1278","Seventh grade","Could try a little harder","About the right amount","B"
"1279","Ninth grade","Trying best to do well in school","About the right amount","A"
"1280","Twelfth grade","Trying best to do well in school","About the right amount","A"
"1281","Sixth grade","Trying best to do well in school","About the right amount","A"
"1282","Twelfth grade","Could try a little harder","Too much homework","B"
"1283","Ninth grade","Could try a little harder","About the right amount","B"
"1284","Ninth grade","Could try a little harder","Too much homework","B"
"1285","Eleventh grade","Could try a little harder","About the right amount","A"
"1286","Sixth grade","Could try a little harder","About the right amount","B"
"1287","Eighth grade","Trying best to do well in school","Too much homework","A"
"1288","Eleventh grade","Trying best to do well in school","About the right amount","C"
"1289","Seventh grade","Could try a little harder","About the right amount","B"
"1290","Twelfth grade","Could try a little harder","About the right amount","B"
"1291","Sixth grade","Trying best to do well in school","About the right amount","A"
"1292","Seventh grade","Could try a little harder","About the right amount","C"
"1293","Eleventh grade","Could try a little harder","About the right amount","C"
